circuit,NMED,MRED,ER,WCE
loa8_k4,0.005626223091976516,0.014886215360219576,0.68359375,0.015655577299412915
heaa8_k4,0.003424657534246575,0.009189347784866941,0.578125,0.0136986301369863
ama5_8bit_k4,0.007827788649706457,0.021598112661987332,0.9375,0.015655577299412915
bam4x4_v2,0.004901960784313725,0.07107074455181163,0.5,0.0196078431372549
