image,adder,blur_psnr,blur_ssim
cameraman,exact,inf,1.0
cameraman,LOA_k4,25.08684720874998,0.9871800796685544
cameraman,HEAA_k4,25.047377170475652,0.987198078136316
cameraman,AMA5_k4,25.085936083533227,0.987102990875812
coffee,exact,inf,1.0
coffee,LOA_k4,28.060253644539273,0.9873923293819983
coffee,HEAA_k4,27.982131003514365,0.9879837585297432
coffee,AMA5_k4,28.05665774793099,0.9875904343323396
