circuit,tpd_ps,power_uW,pdp_fJ
fefet_loa8_k4,108.0329,680.86,73.555280294
fefet_heaa8_k4,nan,89.78053,nan
fefet_bam4x4_v2,92.28011000000001,118.2471,10.911855395181002
