"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Welcome","",,2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","1","2","Presents the message from the conference chairs.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928747","","","","","","","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Mean Circuit Design Using Correlated Random Bitstreams in Stochastic Computing","F. Li; G. Xie; J. Han; Y. Zhang","School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; School of Microelectronics, Hefei University of Technology, Hefei, China",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","4","7","Stochastic computing (SC) is an approximate computing technique that has been considered in recent years as an alternative to conventional binary encoding and is compatible with CMOS technology. Stochastic circuits have the advantages of low power, small area, and high fault tolerance. However, highly accurate computation often takes a lot of time because of the fluctuations in random numbers and the requirement for decorrelation between random bitstreams. In this work, mean circuits are proposed to exploit the correlation between the random bitstreams for an arbitrary number of inputs. With the proposed mean circuit, high-accuracy and low-cost mean filtering designs are implemented. Experimental results indicate that the implementations of mean filtering show 10% and 93% reductions in area and power, compared with multiplexer-based designs.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928609","Fundamental Research Funds for the Central Universities of China(grant numbers:JZ2020HGTA0085,JZ2020HGQA0162); Natural Sciences and Engineering Research Council (NSERC) of Canada(grant numbers:RES0048688); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928609","Mean circuit;correlated bitstream;stochastic computing","Multiplexing;Fault tolerance;Fluctuations;Correlation;Filtering;Fault tolerant systems;Encoding","","2","","17","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Low-Power k Nearest Neighbors Classifiers with Approximate Nanoscale Memories","S. Liu; X. Tang; P. Reviriego; W. Liu; W. Tang; F. Lombardi","Klipsch School of Electrical and Computer Engineering, New Mexico State University, Las Cruces, NM, USA; Klipsch School of Electrical and Computer Engineering, New Mexico State University, Las Cruces, NM, USA; Telematic Engineering Department, Universidad Carlos III de Madrid, Madrid, Spain; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Klipsch School of Electrical and Computer Engineering, New Mexico State University, Las Cruces, NM, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","8","11","The implementation of machine learning classifiers in embedded devices poses significant challenges in terms of power consumption. In some classifiers, like for example the $k$ nearest neighbors ($k$NNs), the memory accounts for a significant portion of power dissipation and thus, utilizing approximate memories is an attractive option to reduce it. In this paper, the use of approximate memories to implement kNNs classifiers is considered. Efficient schemes that reduce the impact of the errors introduced by the approximate memories on the classification result are proposed and evaluated. The results show that power dissipation of memory can be reduced by 43.75% (24.77%) when using SRAMs (DRAMs), while having a negligible impact on the classifier accuracy.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928731","","Power demand;Memory management;Voltage;Machine learning;Nanoscale devices;Power dissipation;Standards","","","","12","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Highly Accurate and Energy Efficient Stochastic Multipliers","Y. Zhang; L. Xie; J. Han; G. Xie","School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","12","15","Stochastic computing (SC) has gained interest by virtue of its small area and low power in computing units through encoding numerical values into randomly distributed bitstreams. However, this method not only results in long latency and thus increases energy consumption, but also reduces computing accuracy. Fortunately, stochastic bitstreams can be generated in parallel to reduce the latency. In this paper, parallel and serial multipliers using optimized encoding sequences with high accuracy and low energy consumption are proposed. Experimental results show that the mean squared error (MSE) is only 0.0015 for a 3-bit serial/parallel multiplier. The MSEs of 3-to 8-bit multipliers are reduced by approximately 29% on average compared with existing designs. The serial multiplier reduces the area and energy consumption by approximately 28% and 24% on average. The parallel multiplier reduces the latency and energy consumption by about 78% and 57% on average, respectively. To evaluate the effectiveness of the proposed multipliers, an image multiplication algorithm is implemented. The results show that the proposed multipliers yield higher image qualities than previous designs.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928594","Fundamental Research Funds for the Central Universities of China(grant numbers:JZ2020HGTA0085,JZ2020HGQA0162); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928594","Stochastic computing;thermometer code;multiplier;image multiplication","Image quality;Energy consumption;Approximation algorithms;Encoding;Hardware;Energy efficiency;Delays","","1","","12","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Nanoscale Design of Multi-Layer Perceptrons using Floating-Point Arithmetic Units","F. Niknia; Z. Wang; S. Liu; F. Lombardi","Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA; Klipsch School of Electrical and Computer Engineering, New Mexico State University, Las Cruces, NM, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","16","19","Deep learning requires powerful designs to process large volume of data during inference while meeting other metrics of high performance such as efficient hardware, operating frequency, power dissipation and latency. In this paper, the shortcomings of current technologies in implementing the forward propagation of Multi-Layer Perceptrons (MLPs) are first investigated. Subsequently, a novel design at nanoscale that combines parallelization and serialization techniques (so hybrid), is proposed to implement a high performance MLP. This design utilizes single precision floating-point arithmetic units and a fully pipelined scheme; it is very flexible because the hardware is independent of the network topology, except for the number of cycles and therefore, the latency. Simulation results for the MNIST dataset show that compared to existing MLP designs found in the technical literature, the proposed design achieves the least power consumption, the highest operating frequency and accuracy; however, it suffers from a slight increase in latency.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928631","","Training;Power demand;Network topology;Simulation;Pipelines;Nanoscale devices;Hardware","","4","","16","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Negative refractive index in Si/Porous SiO2 fishnet metamaterial","D. Bosomtwi; V. E. Babicheva; M. Osinski","Center for High Technology Materials, University of New Mexico, Albuquerque, NM, USA; Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA; Center for High Technology Materials, University of New Mexico, Albuquerque, NM, USA",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","24","26","Using full-wave numerical simulations, we show that a metamaterial structure composed of a multilayer Si/porous $\boldsymbol{\text{SiO}_{2}}$ stack of slab fishnets can be designed to have a negative effective index at optical frequencies. Previous studies of zero index or negative refraction at optical frequencies required the use of stack fishnet designs that included metals, making them difficult to integrate into real optical device applications. Our structure features zero refractive index in the wavelength range from 625 nm till 640 nm, which then becomes negative in the wavelength range from 640 nm - 1 $\boldsymbol{\upmu\mathrm{m}}$, reaching the minimum of-1.9 at 1 $\boldsymbol{\upmu\mathrm{m}}$. Since the structure is silicon-based, it can be fabricated using well-established technologies.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928756","Colloidal nanocrystals;Near-infrared quantum dots;Anti-Stokes emission","Silicon compounds;Optical design;Optical device fabrication;Refractive index;Optical variables control;Optical imaging;Metamaterials","","","","11","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"A Real-Time Target Tracking Method for SEM Images Based on Template Matching","L. Fang; Z. Qu; L. Zhang; Z. Yang","School of Mechanical and Electric Engineering, Soochow University, Suzhou, China; School of Biomedical Engineering, City University of Hong Kong, Hongkong, China; School of Mechanical and Electric Engineering, Soochow University, Suzhou, China; School of Biomedical Engineering, City University of Hong Kong, Hongkong, China",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","28","31","Micro-nano materials and their manufacture have become increasingly commonly used in the field of chip manufacturing as nanotechnology has advanced. In this area, the use of carbon nanotubes (CNTs) to build high-performance three-dimensional micro-nano devices has gotten a lot of interest. The micro-nano manipulation robot system built in the scanning electron microscope (SEM) is currently used to assemble carbon nanotube devices. Secondary electron detectors in SEMs are used to record secondary electron scanning pictures as a perceptual tool for automated assembly visual guidance. This paper describes how SEM images are used to provide visual guidance for the assembly of CNTs. SEM image noise sources and components were investigated. A carbon nanotube image tracking system based on template matching with scale invariance and rotation invariance was suggested, based on noise components and denoising. Its accuracy error is not more than 6 pixels and the frame rate reaches 26.39 FPS which meets the real-time requirements.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928655","National Key Research and Development Program of China(grant numbers:2018YFB1304901); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928655","","Scanning electron microscopy;Visualization;Matched filters;Target tracking;Software packages;Carbon nanotubes;Real-time systems","","3","","14","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Mechatronic Demodulation of Self-Sensing Cantilever for DC-bias free AFM Imaging in Liquid","M. Poik; M. Mayr; T. Hackl; G. Schitter","Automation and Control Institute (ACIN), TU Wien, Vienna, Austria; Automation and Control Institute (ACIN), TU Wien, Vienna, Austria; Automation and Control Institute (ACIN), TU Wien, Vienna, Austria; Automation and Control Institute (ACIN), TU Wien, Vienna, Austria",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","35","38","This paper presents the application of mechatronic demodulation for performing dynamic mode AFM measurements with self-sensing cantilevers in liquid. In the proposed approach the bridge circuits with the piezoresistive sensing elements are supplied by an ac voltage that corresponds to the cantilever oscillation frequency. In contrast to conventional read-out circuits, no dc voltages are applied to the piezoresistive elements. Therefore, electrochemical effects leading to a deterioration of the self-sensing cantilever are avoided. This is demonstrated by immersing a self-sensing cantilever in water and comparing microscope images for operation with dc and ac voltages. To verify the feasibility of using mechatronic demodulation for dynamic mode AFM imaging in water the topography of a calibration grating is measured.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928744","Austrian Science Fund(grant numbers:P 31238-N28); Austrian Research Promotion Agency(grant numbers:883916); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928744","atomic force microscopy;self-sensing cantilever;demodulation;dc-bias free;piezoresistive detection","Mechatronics;Liquids;Phase measurement;Bridge circuits;Surfaces;Calibration;Gratings","","","","11","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Influence of Imaging Parameters on AFM Surface Potential Measurements in Aqueous Solutions","T. Hackl; M. Poik; G. Schitter","Automation and Control Institute (ACIN), TU Wien, Vienna, Austria; Automation and Control Institute (ACIN), TU Wien, Vienna, Austria; Automation and Control Institute (ACIN), TU Wien, Vienna, Austria",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","39","42","This paper presents surface potential measurements by closed-loop AC-KPFM in aqueous solutions. In contrast to conventional KPFM, the proposed method omits the use of a dc-bias, therefore preventing electrochemical & electrokinetic effects, enabling operation in water. The ability for reproducible surface potential measurements in aqueous solutions is demonstrated and the influence of key imaging parameters on its performance are investigated, in particular the excitation frequency of the drive signal. It is found that proper operation of AC-KPFM in water is only possible in a regime, where movement of the ions in the solution is suppressed. In the case of highly deionized water, an excitation frequency of >30 kHz is necessary to achieve a comparable performance as conventional KPFM operation in air.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928605","Austrian Science Fund FWF(grant numbers:P 31238-N28); Austrian Research Promotion Agency FFG(grant numbers:883916); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928605","kelvin probe force microscopy;surface potential;aqueous solution;solid-liquid interface","Electric potential;Phase measurement;Force measurement;Microscopy;Kelvin;Frequency measurement;Pressure measurement","","4","","14","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
"Hydrogen Iodide (HI) Neutral Beam Etching for InGaN/GaN Micro-LED","T. Ishihara; D. Ohori; X. Wang; K. Endo; N. Natori; D. Sato; Y. Li; S. Samukawa","Institute of Fluid Science, Tohoku University, Sendai, Japan; Institute of Fluid Science, Tohoku University, Sendai, Japan; National Institute of Advanced Industrial Science and Technology, Tsukuba, Japan; National Institute of Advanced Industrial Science and Technology, Tsukuba, Japan; Showa Denko K.K., Japan; Showa Denko K.K., Japan; Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan; Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan",2022 IEEE 22nd International Conference on Nanotechnology (NANO),"8 Nov 2022","2022","","","48","51","InGaN and GaN are adopted for high efficiency, wide color, and low power consumption micro-LED. They require a defect-free and high throughput fabrication. The defect-free fabrication has been already provided by Cl2 neutral beam (NB) etching, on the other hand, the issue of the throughput improving is remained. In this study, we demonstrated high-speed, high accuracy, and high throughput etching adopting hydrogen iodide (HI) NB as new etching gas. For the InGaN, HI NB provided the high etching rate due to the higher volatile etching product of InI3 than InCl3 in case of Cl2 NB. The surface etched by HI did not have any etch residue. Additionally, we found that HI NB could realize no reduction of PL emission intensity because of maintaining the defect-free etching surface. Therefore, HI NB could achieve the high throughput and defect-free etching for InGaNand GaN without any IQE reduction.","1944-9380","978-1-6654-5225-0","10.1109/NANO54668.2022.9928699","Japan Science and Technology Agency (JST)(grant numbers:JPMJTR20R9); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928699","","Fabrication;Iodine compounds;Power demand;Hydrogen;Color;Throughput;Etching","","2","","12","IEEE","8 Nov 2022","4-8 July 2022","4-8 July 2022","IEEE","IEEE Conferences"
