"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Quantitative Understanding of Sub-Threshold Swing of Si MOSFETs at Cryogenic Temperatures Down to 4 K","S. Takagi; M. -S. Kang; K. Toprasertpong; M. Takenaka; H. Oka; T. Mori","Department of Electrical Engineering and Information Systems, The University of Tokyo, Tokyo, Japan; Department of Electrical Engineering and Information Systems, The University of Tokyo, Tokyo, Japan; Department of Electrical Engineering and Information Systems, The University of Tokyo, Tokyo, Japan; Department of Electrical Engineering and Information Systems, The University of Tokyo, Tokyo, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Ibaraki, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Ibaraki, Japan",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","10","14","The sub-threshold swing (SS) of Si n-MOSFETs is experimentally and systematically evaluated in a temperature range of 300 to 4 K with varying substrate impurity concentrations ($N_{sub}$) from ~1×1016 to ~1×1018 cm−3, in order to obtain a physical understanding of SS at cryogenic temperatures. The saturated SS at low temperatures is found to increase with increasing $N_{sub}$. It is confirmed that the temperature and drain current dependencies of SS are well represented by the conventional model composed of mobile band tail states and localized interface states. On the other hand, the densities of the band tail states and the interface states, assumed in the model, are found to increase with increasing $N_{sub}$. Almost no change in SS with substrate bias suggests that these states can be generated by impurity-induced potential fluctuation.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231231","New Energy and Industrial Technology Development Organization (NEDO)(grant numbers:JPNP16007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231231","","Semiconductor device modeling;Temperature distribution;Temperature dependence;Impurities;Tail;Cryogenics;MOSFET circuits","","2","","29","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"Ultra-Thin CNT/PDMS Nanocomposite Sponge for Pressure Sensing and Acoustic Wave Generation","J. Suo; W. J. Li","Department of Mechanical Engineering, City University of Hong Kong, Hong Kong SAR, China; Department of Mechanical Engineering, City University of Hong Kong, Hong Kong SAR, China",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","45","50","Polymer nanocomposites reinforced by conductive nanofiller has attracted much attention due to their enhanced mechanical and electrical properties. We have developed an ultrathin (~400µm) sponge structure with carbon nanotube/polydimethylsiloxane (CNT/PDMS) nanocomposites with adjustable electrical/mechanical properties tunable by changing the CNT concentration in the composite material. In particular, the nanocomposite sponge with low CNT concentration (i.e., CNT: PDMS weight ratio of 3%) was demonstrated to be applicable as a skin-attachable sensor for human physiological signal monitoring due to its biocompatibility and good pressure sensitivity. On the other hand, the sponge nanocomposite with a high CNT concentration (i.e., CNT: PDMS weight ratio of 30%) can be applied as a flexible acoustic wave generator based on the thermoacoustic effect. The fabrication process for this nanocomposite sponge material and various example applications of this material are presented in this paper.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231196","","Sensitivity;Composite materials;Nanocomposites;Skin;Nanoscale devices;Sensors;Nanostructures","","1","","32","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"Environment-Friendly Liquid Metal Coating Material for Patterning Soft and Stretchable Electronics at Low Cost","P. Wu; X. Yu","Department of Biomedical Engineering, City University of Hong Kong, China; Department of Biomedical Engineering, City University of Hong Kong, China",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","1","4","Wearable flexible electronics can enrich and facilitate people's daily life. However, although exquisite design and complex processes enrich the functions of wearable electronics, high costs also hinder the commercialization of wearable flexible electronics and their applications in everyday life. Herein, we report a low-cost and rapid fabrication approach for wearable flexible electronics. In this approach, liquid metal coating material composed of liquid metal particles and polyvinyl alcohol solution can be mask coated on some substrate materials commonly used in daily life to fabricate desired soft and stretchable patterns for wearable electronics. Further, we characterized the electrical performance of liquid metal coating material for strain sensors, and fabricated soft LED arrays and finger joint motion sensors on disposable nitrile gloves commonly used in the laboratory to demonstrate that this approach is fully capable of manufacturing low-cost disposable wearable electronics. This approach sheds new light on wearable electronics in high demand for short-lived everyday use.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231166","","Fabrication;Solvents;Liquids;Costs;Wearable computers;Metals;Capacitive sensors","","","","32","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"High-Frequency Investigation of Polarization Effects in Nanoscale Hafnium-Based Ferroelectrics","D. Mencarelli; G. M. Zampa; L. Pierantoni; M. Dragoman; F. Nastase; S. Vulpe; M. Aldrigo","Information Engineering Department, Universitá Politecnica delle Marche, Ancona, Italy; Information Engineering Department, Universitá Politecnica delle Marche, Ancona, Italy; Information Engineering Department, Universitá Politecnica delle Marche, Ancona, Italy; National Institute for Research and Development in Microtechnologies IMT Bucharest, Voluntari (Ilfov), Romania; National Institute for Research and Development in Microtechnologies IMT Bucharest, Voluntari (Ilfov), Romania; National Institute for Research and Development in Microtechnologies IMT Bucharest, Voluntari (Ilfov), Romania; National Institute for Research and Development in Microtechnologies IMT Bucharest, Voluntari (Ilfov), Romania",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","55","58","In this paper, we present for the first time a rigorous multi-physics approach in the time domain to investigate the polarization effects in ultra-thin (i.e., with a thickness smaller than 10 nm) layers of hafnium-based ferroelectrics at GHz frequencies. Starting from the Ginzburg-Landau theory, we have taken into account the full coupling between the material polarization and the Maxwell system of equations, in order to capture the nonlinear effects and the hysteretic residual behavior occurring at high frequencies. A thorough comparison with the measured low-frequency polarization-electric field loops constitutes a basis for the subsequent high-frequency model of the fabricated metal-ferroelectric-metal (MFM) capacitor. Then, by resuming to an electromagnetic model of the MFM capacitor embedded into a coplanar waveguide line, we demonstrate the effects of the ferroelectric hysteresis up to 10 GHz and for an input power of 30 dBm. Finally, we investigate the effect of the conductor losses, that results in a finite field decay length (skin depth) and a spatially distributed charge stored near to the contact interface with the ferroelectric. The proposed methodology can be of great use in predicting and analyzing the performance of devices and components, especially fast switches and transistors, based on nanoscale ferroelectric materials.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231168","","Couplings;Time-frequency analysis;Ferroelectric materials;Capacitors;Electromagnetic waveguides;Nanoscale devices;Mathematical models","","","","22","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"CNT-PUFs: Highly Robust Physical Unclonable Functions Based on Carbon Nanotubes","S. Böttger; F. Frank; N. A. Anagnostopoulos; A. Mohamed; M. Hartmann; T. Arul; S. Hermann; S. Katzenbeisser","Center for Microtechnologies and the Research Center for Materials, Architectures and Integration of Nanomembranes, Chemnitz University of Technology, Chemnitz, Germany; Faculty of Computer Science and Mathematics, University of Passau, Passau, Germany; Faculty of Computer Science and Mathematics, University of Passau, Passau, Germany; Center for Microtechnologies and the Research Center for Materials, Architectures and Integration of Nanomembranes, Chemnitz University of Technology, Chemnitz, Germany; Center for Microtechnologies and the Research Center for Materials, Architectures and Integration of Nanomembranes, Chemnitz University of Technology, Chemnitz, Germany; Faculty of Computer Science and Mathematics, University of Passau, Passau, Germany; Center for Microtechnologies and the Research Center for Materials, Architectures and Integration of Nanomembranes, Chemnitz University of Technology, Chemnitz, Germany; Faculty of Computer Science and Mathematics, University of Passau, Passau, Germany",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","1","6","In this work, we explore a highly robust and unique Physical Unclonable Function (PUF) based on the stochastic assembly of single-walled Carbon NanoTubes (CNTs) integrated by a cost-efficient printing approach on 200mm silicon wafers. PUFs are hardware security primitives that leverage small physical variations to generate device fingerprints that are hard to simulate or clone. Our work demonstrates exceptionally robust CNT-based PUFs exhibiting a highly uniform distribution of 53.8% 0s and 46.2% 1s with an average fractional intra-device Hamming distance (ℋDintra) of 0.01. For the first time, ℋDintra was calculated from over 28 cyclic electrical measurement sequences for 144-bit PUFs consisting of passivated CNT field-effect transistors. Moreover, we present a broad stability window for the threshold defining the PUF response. It is based on the clearly distinguishable states of the encapsulated PUF cells, leading to fully stable hardware-stored binary keys.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231160","","Printing;Carbon nanotubes;Physical unclonable function;Time measurement;Stability analysis;Silicon;Robustness","","5","","26","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"Aharonov-Bohm Oscillations in CVD-grown Graphene Rings","Z. Tang; S. Chen; A. S. Sakar; C. Osuala; S. Strauf; G. Hader; T. Chou; A. Cummings; C. Qu; E. -H. Yang","Department of Mechanical Engineering, Stevens Institute of Technology; Department of Mechanical Engineering, Stevens Institute of Technology; Department of Mechanical Engineering, Stevens Institute of Technology; Department of Physics, Stevens Institute of Technology; Department of Physics, Stevens Institute of Technology; US Army DEVCOM, Armaments Center; Department of Chemical Engineering and Material Science, Stevens Institute of Technology; Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC and BIST, Campus UAB, Bellaterra, Barcelona, Spain; Department of Physics, Stevens Institute of Technology; Department of Mechanical Engineering, Stevens Institute of Technology",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","65","68","This paper presents Aharonov-Bohm (AB) oscillations in CVD-grown graphene rings. We fabricated graphene rings and characterized their conductance at 4 K under out-of-plane external magnetic fields up to +/-5.6T. Incorporating a baseline subtraction of the original conductance data enabled the observation of two-terminal conductance oscillations with a spacing of ABAB from 2.06 mT to 8.2mT, as expected for an ideal ring with a range of radii from 400 nm to 800 nm. The Fast-Fourier Transform (FFT) data showed a broad band of AB oscillation frequencies that constitute the interval of the h/e fundamental mode given by the sample geometry ranging from 122 to 488 l/T. The broad spread of FFT peaks is due to the relatively large ring width with the aspect ratio of the inner radius r1 and the width $w$ of the ring, $r/w\sim 1$. The overall AB oscillations were comparable to the theoretical prediction. This work shows the AB oscillations at a significantly higher temperature (4K) despite the lower mobility of non-suspended monolayer graphene rings.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231188","","Temperature measurement;Phase measurement;Graphene;Noise reduction;Transforms;Particle measurements;Numerical simulation","","1","","30","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"A Variable Latency Ling Adder Based on Brent-Kung Parallel-Prefix Topology","P. Guo; G. Xie; X. Chen; J. Han; Y. Zhang","School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; School of Microelectronics, Hefei University of Technology, Hefei, China",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","1","5","For emerging applications, such as deep learning, design complexity can be reduced to lower hardware costs by releasing the strict requirement of computing accuracy. In this paper, a variable latency Ling adder (VLLA) with reduced propagation delay is proposed to produce exact results in most cases through a speculative operation. When an error is detected, the error detection and correction modules are activated to generate exact results. All circuits are synthesized in the Synopsys Design Compiler with a TSMC 65 nm standard cell library and evaluated for the error probability in MATLAB. Experimental results show that the proposed VLLA achieves reductions in power and smallest average delay by up to 17% and 23%, respectively, compared to the original exact Ling adder (LA). In addition, the proposed VLLA achieves reductions of 8%, 18%, 11.4%, and 7.6% in power, smallest average delay, area average-delay product, and power average-delay product, compared to an existing variable latency adder (VLA).","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231157","Approximate computing;parallel-prefix adder;Ling adder;error correction","Simulation;Libraries;Hardware;Delays;Topology;Adders;Standards","","1","","11","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"Analog Memristor Counter Arrays","S. P; A. A R; C. R; A. James","School of Electronic Systems and Automation, Digital University, Kerala, India; School of Electronic Systems and Automation, Digital University, Kerala, India; Indian Institute of Information Technology and Management, Kerala, India; School of Electronic Systems and Automation, Digital University, Kerala, India",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","111","116","Counters are widely used for implementing counting, clocking, and computations. The digital counters are usually implemented with flipflops using clocked mechanisms. Counters can consume a large area on chip, as the number of bits per count increases. Counting large numbers requires higher bits or use design methods making use of memories for scalability. Alternatively, in the paper, we present the use of memristor nodes for counting application. Each counter is implemented with a single memristor node and each count is encoded as a memristive conductive state. The conductance of the nodes in the crossbar is incremented or decremented to represent a count value. Also, the proposed method shows the possibility of implementing a larger number of counters in a single crossbar. The proposed counter design is evaluated using Voltage Threshold Adaptive Memristor (VTEAM) model. The on-chip area and power requirements of the proposed circuit is calculated and compared with counter array design using memristor crossbars.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231189","Memristor;Analog Counter;Crossbar arrays;Mixed signal","Multiplexing;Scalability;Design methodology;Memory management;Memristors;Bridge circuits;Threshold voltage;System-on-chip;Arrays;Nanotechnology","","1","","20","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"A Novel Flexible Artificial Synapse Based on Pseudocapacitor for High-Accuracy Neuromorphic Computing","B. F. Yang; D. Wang; J. Wang; Z. Y. Zhou; X. D. Huang","Key Laboratory of MEMS of the Ministry of Education, School of Electronic Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of MEMS of the Ministry of Education, School of Electronic Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of MEMS of the Ministry of Education, School of Electronic Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of MEMS of the Ministry of Education, School of Electronic Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of MEMS of the Ministry of Education, School of Electronic Science and Engineering, Southeast University, Nanjing, China",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","117","120","Memristors have been suggested as competitive candidates to implement artificial synapses, which can be integrated into the neuromorphic computing architectures. However, several non-ideal factors including non-linearity and asymmetry of weight update during long-term potentiation (LTP) and long-term depression (LTD) processes restrict the practical application of the memristor based artificial synapses. In this work, a novel flexible artificial synapse based on polyaniline (PANI) pseudocapacitor is proposed. The device exhibits typical pseudocapacitive characteristics during cyclic voltammetry (CV) tests. In addition, essential synaptic plasticity such as short-term plasticity, long-term plasticity and experience-dependent learning are successfully emulated based on the electrochemical reactions of hydrogen ions. More importantly, this artificial synapse shows low non-linearity (0.36/-1.23 for LTP/LTD) and asymmetry (0.19) of weight update. By incorporating the LTP/LTD characteristics of our artificial synapse, the three-layer artificial neural network (ANN) achieves a high recognition accuracy of 97% on the MNIST data set, demonstrating its great potential in neuromorphic computing systems.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231230","Artificial synapse;neuromorphic computing;non-linearity;asymmetry;pseudocapacitor","Electric potential;Neuromorphic engineering;Hydrogen;Memristors;Artificial neural networks;Ions;Depression","","","","23","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
"CMOS-PCM Based Artificial Thermosensory Neuron for Bio-Inspired Sensing","M. Kumar; S. S. Bezugam; M. Suri","Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Department of Electrical Engineering, Indian Institute of Technology, Delhi, India",2023 IEEE 23rd International Conference on Nanotechnology (NANO),"1 Sep 2023","2023","","","121","126","We propose a hybrid CMOS-PCM (Phase-Change Memory) based artificial thermosensory neuron with integrated synaptic module for neuromorphic sensing applications. We exploit the volatile Ovonic-Threshold-Switching (OTS) behaviour of a PCM cell for emulating the spiking neuronal activity. Thermally driven OTS voltage reduction trend of a PCM cell helps to modulate firing frequency of the proposed sensory neuron with increasing temperature. The proposed neuron circuit is capable of sensing a temperature range from 273K to 353 K. Furthermore, we propose a Spiking Neural Network (SNN) of size 784×196 × 10 for MNIST, Fashion-MNIST data based image classification, where gray-scale pixel values are considered as temperature profiles. The proposed SNN was trained with Back-Propagation (BP) algorithm for 100 epochs. We achieved maximum 99.21 % (/95.5%) train (/test) accuracy on MNIST dataset, whereas on Fashion-MNIST dataset, maximum train (/test) accuracy was 92.18% (/83.24%). Through network simulations, we also investigated the impact of resistance drift behavior of PCM synaptic devices on the proposed SNN application.","1944-9380","979-8-3503-3346-6","10.1109/NANO58406.2023.10231240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231240","","Temperature sensors;Temperature distribution;Service robots;Neurons;Voltage;Robot sensing systems;Phase change memory","","","","38","IEEE","1 Sep 2023","2-5 July 2023","2-5 July 2023","IEEE","IEEE Conferences"
