"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficient Approximate Ternary Multipliers for Emerging Nanodevices","L. H. Krishna; B. Srinivasu; K. Sridharan","School of Computing and Electrical Engineering, Indian Institute of Technology, Mandi, India; School of Computing and Electrical Engineering, Indian Institute of Technology, Mandi, India; Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India",IEEE Transactions on Nanotechnology,"28 Jan 2026","2026","25","","1","12","In this paper, we present efficient designs of approximate ternary multipliers applicable to several emerging nanodevices. The proposed multipliers are motivated by the multiply-and-accumulate (MAC) operation in convolutional neural networks (CNNs). In particular, CNN applications in imaging are resilient to errors and it is therefore advantageous to examine methods that save energy and reduce the delay. Two approximate single-digit ternary multipliers are proposed. The single-digit approximate multipliers are used to develop an approximate $3 \times 3$ and $6 \times 6$ ternary multipliers. The proposed approximate $6 \times 6$ multiplier saves energy in the range of 22% to 40% over recent approximate designs. Further, there is a reduction of delay of roughly 21$\%$ with the proposed multipliers over the best existing design. The multipliers are based on their exact counterparts which are, in turn, developed using an efficient exact ternary carry adder (TCAD) that generates the sum of two carry outputs of a single ternary digit multiplier. The application of the approximate multipliers to CNN-based imaging is then demonstrated. In particular, the proposed approximate multipliers have excellent performance for CNN-based image denoising. Further, the approximate multipliers show good performance on MNIST and CIFAR-10 datasets. Simulations for Carbon Nanotube FET (CNTFET) reveal energy savings in excess of 50% over the best existing multipliers.","1941-0085","","10.1109/TNANO.2025.3648734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11316375","Emerging nanodevices;approximate ternary multiplier;low complexity;multiply and accumulate operation;CNN-based image denoising;CNTFET-based simulations","Adders;CNTFETs;Accuracy;Nanoscale devices;Arithmetic;Convolutional neural networks;Image denoising;Hands;Noise reduction;Multivalued logic","","","","46","IEEE","26 Dec 2025","2026","","IEEE","IEEE Journals"
"High-Speed and Low-Cost In-Array Memristive Multipliers Using SIXOR and TMSL Logics","R. R. Disfani; M. Valinataj; N. TaheriNejad","Department of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran; Department of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran; Heidelberg University, Heidelberg, Germany",IEEE Transactions on Nanotechnology,"19 Jan 2026","2026","25","","13","25","Memristive systems have many promising features, making them suitable for both storage and computation. Memristors can perform logical operations and they can be used as the basic structures in digital circuits such as adders and multipliers. In this paper, at first, a new fast and low-cost Full-Adder (FA) is proposed using Single-cycle In-memristor XOR (SIXOR) and Three Memristors Stateful Logic (TMSL) gates that benefits from the advantages of both logics. Then, the proposed FA is used as one of the basic units inside two new array multipliers. The first proposed multiplier is designed in such a way that it has the lowest computational steps (delay) among the existing designs. This design has on average around 70% lower delay compared to the existing designs. The second proposed multiplier, as the low-cost design, requires a very low number of memristors thanks to reusing the existing resources more efficiently, while still having a low delay. This multiplier achieves on average around 36% memristor reduction compared to the state-of-the-art multipliers. Based on the analysis, both proposed array multipliers have notable efficiency advantages compared to the state-of-the-art designs based on different Figures of Merit (FoMs). For example, based on the balanced Figure of Merit (FoM), in which the number of computational steps and the number of required memristors have equal weight, the first and the second proposed multipliers achieve up to 4.6× and 14.9× improvements, respectively, compared to the existing designs in 64-bit multiplication.","1941-0085","","10.1109/TNANO.2025.3566272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10981683","Memristor;in-memory computation;SIXOR;TMSL;multiplier;FA;in-array computing","Memristors;Logic;Adders;Logic gates;Delays;Resistance;Logic arrays;Reviews;Training;Optimization","","","","54","IEEE","1 May 2025","2026","","IEEE","IEEE Journals"
"Ultra-Broadband Polarization- and Angle-Insensitive Perfect Meta-Absorber for Energy Harvesting and Thermal Infrared Detection","B. Chakraborty; T. Bhowmik; D. Sikdar","Department of Electronics and Electrical Engineering, Indian Institute of Technology, Guwahati, India; Department of Electronics and Electrical Engineering, Indian Institute of Technology, Guwahati, India; Department of Electronics and Electrical Engineering, Indian Institute of Technology, Guwahati, India",IEEE Transactions on Nanotechnology,"19 Jan 2026","2026","25","","26","31","Broadband plasmonic metamaterial absorbers are highly sought after for their use in energy harvesting applications. Here, we theoretically demonstrate a nanophotonic perfect meta-absorber comprised of a two-dimensional (2D) array of pyramidal multi-layered metal-dielectric (MD) structures. Each multi-layered structure has 20 pairs of alternating MD layers comprising titanium nitride (TiN) and silicon dioxide (SiO2), with an optically-thick TiN metal layer as back reflector. We theoretically show an exceptional average absorbance of 99.17% at normal incidence spanning ultra-broadband wavelength range of 0.3–5 μm, with peak absorbance of 99.99% at 1.28 μm wavelength. The proposed nanophotonic meta-absorber has an average absorbance of at least 94% for up to 60° of oblique incidence for random polarization. Thus, our proposed design is both angle-insensitive and polarization-independent. Our effective medium theory-based theoretical modeling comprehensively verifies the results obtained from full-wave simulations. Furthermore, the calculated figure-of-merit for the proposed meta-absorber suggests that it can outperform some broadband absorbers recently reported in the literature. Thus, the suggested meta-absorber has potential applications in energy harvesting and thermal infrared detection.","1941-0085","","10.1109/TNANO.2026.3650804","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328889","Metamaterial absorber;energy harvesting;nanophotonic metasurface;wide-incidence angle;light absorption","Absorption;Tin;Energy harvesting;Numerical models;Metamaterials;Oscillators;Broadband communication;Time-domain analysis;Permittivity;Optical reflection","","","","32","IEEE","5 Jan 2026","2026","","IEEE","IEEE Journals"
"Electrically Configured Analog Signal Modulation and Logic Operation With Dual-Doped RFET","S. Semwal; P. Su; A. Kranti","Institute of Electronics, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Institute of Electronics, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Low Power Nanoelectronics Research Group, Department of Electrical Engineering, Indian Institute of Technology Indore, Indore, India",IEEE Transactions on Nanotechnology,"28 Jan 2026","2026","25","","32","37","This paper proposes and analyzes various configurations of dual-doped (DD) reconfigurable field-effect transistors (RFET) that enable operation as p-type, n-type, and ambipolar operational modes through electrical connections of electrodes. This versatility, achieved through a single DD-RFET, is harnessed by demonstrating applications for analog design (frequency-doubling, phase-reversal, and phase-following applications) and logic operations (NOT, OR, NAND, and XOR). DD-RFET enables the realization of analog and logic blocks through a single device paving the way for area-efficient multifunctional processors.","1941-0085","","10.1109/TNANO.2026.3656188","NSTC, Taiwan(grant numbers:113-2811-E-A49-523,114-2811-E-A49-524,114-2221-E-A49-196); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11359551","Dual-doped (DD) reconfigurable field-effect transistor;signal modulation;reconfigurable logic","Logic gates;Logic;Electrons;MOSFET;Silicon-on-insulator;Frequency modulation;Voltage;Silicon;Silicides;Nickel alloys","","","","22","IEEE","20 Jan 2026","2026","","IEEE","IEEE Journals"
"Tunable Absorption Dynamics in Plasmonic Switch Using Diverse Dielectric Platforms at 1.55 μm Wavelength","H. R. Das; H. Mondal; K. Goswami; A. Sultana; K. S. Roy","Department of Electronics and Communication Engineering, Haldia Institute of Technology, Haldia, India; Department of Electronics and Communication Engineering, Dibrugarh University Institute of Engineering and Technology, Dibrugarh University, Dibrugarh, India; Department of Electronics and Communication Engineering, Haldia Institute of Technology, Haldia, India; Techno Main Salt-Lake, Kolkata, India; School of Engineering, Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India",IEEE Transactions on Nanotechnology,"20 Feb 2026","2026","25","","38","48","Photonic Integrated Circuits (PICs) are central to modern communication and data transmission technologies. It integrates various optical components, among which the optical switch holds a vital and fundamental role. This paper presents the design and theoretical investigation of an electro-absorption optical switch, employing indium–tin–oxide (ITO), graphene and germanium–antimony–selenium–telluride (GSST) as its structural materials. The performance of the switch is influenced by variations in the permittivity of the structural material, which directly governs the absorption dynamics of the device. In addition, the device integrates two different dielectric materials, hafnium dioxide (HfO2) and silicon nitride (Si3N4), for the assessment of its performance metrics. The ITO-based switch with a length of 500 nm demonstrates a maximum extinction ratio (ER) of 29.14 dB/μm and figure-of-merit (FOM) of 626.81. Also, both the ITO-graphene and GSST-graphene based switch showed an insertion loss (IL) of $< $0.19 dB/μm at 500 nm and 2 μm device length. The examined switches hold potential benefits for Next-Gen PICs.","1941-0085","","10.1109/TNANO.2026.3662518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373866","Figure-of-merit;insertion loss;permittivity;optical switch;indium-tin-oxide (ITO)","Optical switches;Indium tin oxide;Optical waveguides;Plasmons;Permittivity;Absorption;Optical losses;Optical devices;Silicon;Hafnium compounds","","","","49","IEEE","9 Feb 2026","2026","","IEEE","IEEE Journals"
"Indirect Laser Metal Deposition Unexpectedly Stabilises Amorphous Germanium Memristors","Z. Li; S. M. Raza; P. D. Börner; M. Manns; P. H. Bolívar; B. Choubey","Institute of Analogue Circuits and Image Sensors, University of Siegen, Siegen, Germany; Institute of Production Technology (PROTECH), University of Siegen, Siegen, Germany; Institute of Analogue Circuits and Image Sensors, University of Siegen, Siegen, Germany; Institute of Production Technology (PROTECH), University of Siegen, Siegen, Germany; Institute of High Frequency and Quantum Electronics, University of Siegen, Siegen, Germany; Institute of Analogue Circuits and Image Sensors, University of Siegen, Siegen, Germany",IEEE Transactions on Nanotechnology,"20 Feb 2026","2026","25","","49","52","We report an unexpected finding regarding the effects of excessive heat on amorphous germanium (a-Ge)-based memristors. These results came out from experiments conducted to identify semiconductor sensors which can withstand an indirect laser metal deposition process, particularly when embedded beneath a metallic surface exposed to the high temperatures. Surprisingly, we observed that this process can unexpectedly stabilise the switching behaviour of amorphous germanium memristors. This may result from partial crystallisation in the active layer of the memristor, which could enhance their stability.","1941-0085","","10.1109/TNANO.2026.3663465","German Federal Ministry of Education and Research and the European Commission; Distributed Artificial Intelligence Systems(grant numbers:101007273); Horizon Europe FLEX4RES project(grant numbers:101091903); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11389161","Memristor;laser metal deposition;crystallisation;amorphous materials","Memristors;Metals;Germanium;Temperature sensors;Switches;Vertical cavity surface emitting lasers;Surface treatment;Resistance;Powders;Optical fibers","","","","21","IEEE","10 Feb 2026","2026","","IEEE","IEEE Journals"
"Interplay of Doping, Defects, and Metal Coupling in P-Type Ohmic Contacts to MoS2","Z. Ma; L. Zhang; C. Zhou","School of Microelectronics, South China University of Technology, Guangzhou, China; School of Electronic and Computer Engineering, Peking University, Shenzhen, China; School of Microelectronics, South China University of Technology, Guangzhou, China",IEEE Transactions on Nanotechnology,"20 Feb 2026","2026","25","","53","59","Achieving p-type Ohmic contacts in MoS2 field-effect transistors (FETs) remains difficult due to Schottky barriers created by strong Fermi-level pinning at metal–semiconductor interfaces. In this work, we investigate how p-type doping, sulfur vacancy defects, and metal–MoS2 coupling jointly determine the contact barrier in monolayer and multilayer MoS2. A combined approach using first-principles calculations and device-level simulations is employed to capture contact physics. Experimental measurements of FET devices reveal a systematic thickness-dependent transition from p-type to ambipolar and n-type behavior, which cannot be fully explained by Schottky's model alone. Atomistic modeling shows that ionized dopants generate an interfacial dipole that lowers the hole injection barrier, while sulfur vacancies introduce donor-like gap states that compensate this dipole and strengthen Fermi-level pinning. In parallel, the metal–MoS2 interaction varies strongly with the van der Waals gap. Reduced interface distances, which are likely during metal deposition, enhance charge hybridization and suppress the doping-induced potential shift. This combined analysis establishes a unified picture in which the balance among dopants, defects, and metal coupling governs the attainable p-type Ohmic behavior. The results provide guidelines for engineering barrier-free Ohmic contacts in doped MoS2 FETs.","1941-0085","","10.1109/TNANO.2026.3663462","National Natural Science Foundation of China(grant numbers:62574084); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2025A1515010391); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11389153","Schottky barrier;Ohmic contact;MoS2;p-type;doping;field-effect transistors","Sulfur;Molybdenum;Field effect transistors;Doping;Schottky barriers;Metals;Tunneling;Ohmic contacts;Semiconductor process modeling;Fermi level","","","","36","IEEE","10 Feb 2026","2026","","IEEE","IEEE Journals"
"Low-Temperature Polymer Removal to Boost Solution Processed Carbon Nanotube Thin Film Transistor Performance","H. Zhang; X. Yin; H. Wang; Z. Luo; Y. Yuan; L. Xiang","College of Materials Science and Engineering, Hunan University, Changsha, China; College of Materials Science and Engineering, Hunan University, Changsha, China; College of Materials Science and Engineering, Hunan University, Changsha, China; College of Materials Science and Engineering, Hunan University, Changsha, China; School of Physics and Optoelectronics, Xiangtan University, Xiangtan, China; College of Materials Science and Engineering, Hunan University, Changsha, China",IEEE Transactions on Nanotechnology,"20 Feb 2026","2026","25","","60","63","Carbon nanotubes (CNTs) offer exceptional electrical properties for the next-generation thin-film transistors (TFTs). However, the residual conjugated polymers introduced from the solution processes degrade the device performance. Here, a low-temperature (below 150 °C) post-treatment method is developed to remove wrapping polymers from CNT while preserving CNT integrity (G+/D ratio: 18.17 to 16.97). This silicon-compatible technique avoids harsh chemicals and high-temperature annealing, simultaneously improving the devices performance (2.9× higher mobility, 2.4× higher on-current, and lower subthreshold swing), and uniformity. This low-temperature, acid-free approach facilitates the application of CNT TFTs in wearable electronics and display backplanes.","1941-0085","","10.1109/TNANO.2026.3663466","National Key R&D Program of China(grant numbers:2024YFB4405300); Natural Science Foundation of Hunan Province(grant numbers:2023JJ20016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11389126","Carbon nanotubes;thin film transistors;low-temperature processing;polymer removal;structure integrity;performance improvement","Polymers;Thin film transistors;Carbon nanotubes;Performance evaluation;Substrates;Electrodes;Silicon;Ions;Annealing;Junctions","","","","12","IEEE","10 Feb 2026","2026","","IEEE","IEEE Journals"
"Simulation Study of the Pulse Shaping Effects on the Power, Energy, and Programming Time Requirements of Filamentary-Type Memristors","E. Miranda; E. Piros; F. L. Aguirre; X. Pérez; T. Kim; P. Schreyer; J. Gehrunger; T. Oster; K. Hofmann; J. Suñé; C. Hochberger; L. Alff","Departament d'Enginyeria Electrònica, Universitat Autònoma de Barcelona, Bellaterra, Spain; Technische Universität Darmstadt, Darmstadt, Germany; Intrinsic Semiconductors, London, U.K.; Departament d'Enginyeria Electrònica, Universitat Autònoma de Barcelona, Bellaterra, Spain; Technische Universität Darmstadt, Darmstadt, Germany; Technische Universität Darmstadt, Darmstadt, Germany; Technische Universität Darmstadt, Darmstadt, Germany; Technische Universität Darmstadt, Darmstadt, Germany; Technische Universität Darmstadt, Darmstadt, Germany; Departament d'Enginyeria Electrònica, Universitat Autònoma de Barcelona, Bellaterra, Spain; Technische Universität Darmstadt, Darmstadt, Germany; Technische Universität Darmstadt, Darmstadt, Germany",IEEE Transactions on Nanotechnology,"24 Feb 2026","2026","25","","64","67","As with any memory device, programming a memristor involves trade-offs between power, energy, and time. In this letter, we investigate in detail how these factors are interrelated under different programming conditions. We show that, under time constraints, lower energy consumption can be achieved using faster programming pulses at the cost of increased power dissipation. Conversely, when limiting the maximum power is the priority, longer programming times are required to minimize energy consumption. These trade-offs ultimately stem from the physical response time of ions and vacancies involved in the formation and dissolution of the conductive filament within the oxide layer of a metal–insulator–metal (MIM) structure. We begin by analytically examining the effect of applying a single trapezoidal pulse to the device. Next, we extend the analysis to multiple pulses, using a compact recursive approach to model both potentiation and depression. Finally, we perform SPICE simulations under unconstrained programming conditions. Modeling and simulations are based on the Dynamic Memdiode Model, combined with the Method of Elementary Solvers. Given the variability of device parameters and experimental conditions, we provide the complete SPICE schematic to allow interested readers to explore different scenarios and tailor the analysis to their specific use cases.","1941-0085","","10.1109/TNANO.2026.3663487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11389184","Memristor;resistive switching;energy;power;SPICE;LTspice","Programming;Voltage;Energy consumption;SPICE;Power dissipation;Memristors;Mathematical models;Switches;Resistance;Ions","","","","21","CCBY","10 Feb 2026","2026","","IEEE","IEEE Journals"
"High-Selectivity Sensing of 2-Butanone by Ni-Doped ZnO Nanoparticles Derived From ZIF-8","Z. Mu; F. Zhou; Z. Yuan; F. Meng","College of Information Science and Engineering, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China; State Key Laboratory of Synthetical Automation for Process Industries, College of Information Science and Engineering, Northeastern University, Shenyang, China; State Key Laboratory of Synthetical Automation for Process Industries, College of Information Science and Engineering, Northeastern University, Shenyang, China",IEEE Transactions on Nanotechnology,"2 Mar 2026","2026","25","","68","73","2-Butanone is a common colorless, flammable volatile organic compound (VOC) in chemical, electronics, new energy, and petroleum fields. However, its hazards to human health and its danger as a raw material for crystal methamphetamine production underscore the high necessity for developing detection technologies targeting it. In this study, Ni-doped ZnO was synthesized from a ZIF-8 derivative precursor for gas sensing applications.The phase composition, microstructure, and elemental chemical states of the samples were characterized by XRD, SEM, TEM, and XPS. Gas sensing tests showed that Ni doping reduced the optimal operating temperature from 320 °C for pure ZnO to 300 °C. The Ni-doped ZnO exhibited a significantly enhanced response (Ra/Rg = 287.5) to 100 ppm 2-butanone at 300 °C, along with excellent selectivity and repeatability. Furthermore, the sensor achieved effective detection of 2-butanone at concentrations as low as 0.1 ppm (Ra/Rg = 2.5). This study confirms that utilizing ZIF-8 as a precursor combined with Ni doping is an effective strategy for enhancing the detection performance of ZnO-based sensors for 2-butanone, providing a viable direction for developing high-sensitivity metal oxide (MOX) gas sensors.","1941-0085","","10.1109/TNANO.2026.3666780","National Natural Science Foundation of China(grant numbers:62525302,U25A20491); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11404427","2-butanone;Ni-doped ZnO;ZIF-8;MOX gas sensor","Zinc oxide;II-VI semiconductor materials;Nickel;Gas detectors;Doping;Sensors;Nanoparticles;Zinc;Lattices;Temperature sensors","","","","44","IEEE","23 Feb 2026","2026","","IEEE","IEEE Journals"
