"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents","",,2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","1","61","","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113509","","","","","","","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Early Diagnostic of Parkinson's Disease by Nano Detection of the Biomarker Alpha-Synuclein","C. Liu; A. McClelland; T. H. Zeng","Lexington High School, Lexington, MA, U.S.A.; Center for Nanoscale Systems, Harvard University, Cambridge, MA, USA; Innobridge Institute, Cambridge, MA, USA",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","2","6","In recent years, Parkinson's Disease (PD) has become a more global issue, impacting over 10 million people worldwide, and is expected to rise continually due to an increase in the aging population. As slowing down the disease progression is its only treatment, diagnosing the disease as early as possible is critical for an effective intervention. Thus, finding a biomarker that accurately and consistently reflects the early stages of PD is necessary. In recent studies, researchers have analyzed many biomarkers and identified several that allow for an accurate and early diagnosis of the disease. In particular, alpha-synuclein ($\alpha$-syn) and its oligomers ($\alpha$-syn olig) showed potential for a widespread screening and an early noninvasive diagnosis. This study aims to detect salivary $\alpha$-syn and $\alpha$-syn olig at low concentrations, utilizing surface-enhanced Raman scattering (SERS) spectroscopy. By enabling the analysis of biomarker concentration in different fluids combined with silver nanoparticles (Ag np), this method would develop a diagnostic procedure for the early stages of the disease. This study employed various experimental techniques to analyze the biomarker under different circumstances by demonstrating the functioning of silver nanoparticles on $\alpha$-syn, finding a concentration-signal intensity curve, and simulating in artificial salivary samples. The outcomes of this study may enhance future research in Parkinson's Disease and other biomarker-based diagnostics, improving the quality of life of many people.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113764","","Nanoparticles;Silver;Spectroscopy;Fluids;Accuracy;Parkinson's disease;Raman scattering;Aging;Noninvasive treatment;Nanotechnology","","","","13","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Analysis of Surface Orientation and Channel Direction in GAA Nanosheet FETs for CMOS Logic Performance","H. Raju; A. K. S. Chauhan; I. A. Khan; B. Fatima; S. K. Manhas","Electronics and Communication Engineering Department, IIT Roorkee, Roorkee, Uttarakhand, India; Electronics and Communication Engineering Department, IIT Roorkee, Roorkee, Uttarakhand, India; Electronics and Communication Engineering Department, IIT Roorkee, Roorkee, Uttarakhand, India; Electronics and Communication Engineering Department, IIT Roorkee, Roorkee, Uttarakhand, India; Electronics and Communication Engineering Department, IIT Roorkee, Roorkee, Uttarakhand, India",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","7","12","This study examines the impact of different surface orientation and channel direction combinations on the electrical performance of Gate-All-Around Nanosheet (GAANS) FETs, to optimize the logic operation. The surface orientations (100) and (110) are considered, and for each surface orientation, two channel directions, $< 100 {>}$ and $< 110 {>}$, are investigated. When the surface orientation for $< 110 {>}$ channel direction is changed from (100) to (110), the p-type GAA-NS FET experiences a 25.3 % increase in drain current. In contrast, the n-type GAA-NS FET exhibits a 12.9 % reduction in drain current. Despite this, the overall performance of the CMOS inverter is enhanced. This work is based on precise device models and well calibrated TCAD simulations with experimental data. The (100)/ surface orientation/channel direction combination yields the best performance for n-type GAA-NS FET, while the (110)/ combination is optimal for p-type GAA-NS FET. Additionally, a hetero-oriented CMOS inverter, utilizing the (100)/ ntype GAA-NS and (110)/ p-type GAA-NS configurations, demonstrates the shortest rise and fall times, indicating superior dynamic performance.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113817","","Semiconductor device modeling;Performance evaluation;Power demand;Field effect transistors;Gallium arsenide;Logic gates;Inverters;Data models;Logic;Nanotechnology","","1","","14","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Dielectric Engineering to Enhance the Breakdown Voltage of $\boldsymbol{\beta}-\mathbf{G a}_{2} \mathbf{O}_{3}$ MOSFET","A. Patnaik; M. Gupta; P. Sharma","Department of Electronics and Communication, Advanced Semiconductor Materials and Nanoelectronics Research Group, PDPM Indian Institute of Information Technology, Design and Manufacturing (IIITDM), Jabalpur, India; Department of Atomic Energy, Consortium for Scientific Research, University Grants Commission, Indore, India; Department of Electronics and Communication, Advanced Semiconductor Materials and Nanoelectronics Research Group, PDPM Indian Institute of Information Technology, Design and Manufacturing (IIITDM), Jabalpur, India",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","22","25","The proposed work investigates the impact of high-$\kappa$ dielectric $\text{TiO}_{2}$ on the breakdown characteristics of $\beta-\text{Ga}_{2} \mathrm{O}_{3}$ MOSFETs. $\text{TiO}_{2}$ helps reduce the electric field peak at the gate edge towards the drain side, owing to it's high dielectric constant, thereby increasing the breakdown voltage up to 1141 V. However, standalone $\text{TiO}_{2}$ as gate dielectric introduces significant interface states and traps due to lattice mismatch with $\beta-\text{Ga}_{2} \mathrm{O}_{3}$. To mitigate this, a $\text{TiO}_{2} / \text{Al}_{2} \mathrm{O}_{3}$ bilayer gate dielectric is proposed, with $\text{TiO}_{2}$ dielectric is grown over $\text{Al}_{2} \mathrm{O}_{3}$ layer which lies on the $\beta-\text{Ga}_{2} \mathrm{O}_{3}$ channel. The thicknesses of $\text{TiO}_{2}$ and $\text{Al}_{2} \mathrm{O}_{3}$ are optimized to achieve maximum breakdown voltage upto 1136 V. Subsequently, the study examines the role of different dielectric thickness combinations on the drain current and the device threshold voltage. Thus, this study will be instrumental in developing high breakdown voltage $\beta-\text{Ga}_{2} \mathrm{O}_{3}$ MOSFETs by employing high- $\kappa$ dielectric with optimized thickness.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113738","$\beta-\text{Ga}_{2} \mathrm{O}_{3}$;$\text{TiO}_{2}$;high-к dielectric;breakdown voltage;critical electric field;passivation","Performance evaluation;Lattices;Switches;Logic gates;Threshold voltage;Dielectrics;Interface states;Electric fields;Nanotechnology;Passivation","","","","13","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"The Operational Domain Explorer: A Comprehensive Framework to Unveil the Thermal Landscape of Silicon Dangling Bond Logic Beyond Conventional Operability","M. Walter; J. Drewniok; R. Wille","Chair for Design Automation, Technical University of Munich, Munich, Germany; Chair for Design Automation, Technical University of Munich, Munich, Germany; Chair for Design Automation, Technical University of Munich, Munich, Germany",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","28","33","As Silicon Dangling Bond (SiDB) logic emerges as a promising beyond-CMOS computing paradigm, evaluating its robustness against fabrication imperfections and thermal noise becomes crucial. The Operational Domain framework provides a foundation for such assessments but overlooks key Figures of Merit (FoMs) such as temperature robustness, alternative input paradigms, and I/O integrity validation. This paper introduces new methodologies that extend operational domains to incorporate these factors, enabling a more comprehensive analysis of SiDB gate stability. Implemented in the open-source Operational Domain Explorer, these methods provide high-resolution robustness evaluations. Our results reveal that critical temperature domains exhibit highly uneven structures, previously thermally unstable gates can function at room temperature under specific material parameters, and enforcing I/O integrity significantly reduces temperature stability. By addressing these overlooked aspects, this work refines SiDB robustness evaluation and provides new insights into optimizing both simulation methodologies and fabrication strategies for more reliable SiDB-based computing architectures.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113672","","Fabrication;Temperature;Logic gates;Robustness;Stability analysis;Silicon;Thermal noise;Thermal analysis;Pins;Thermal stability","","","","19","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Temperature Dependence of Electrically Switchable Phosphonic Acid-Based Self-Assembled Monolayer Junctions","C. Pfeiffer; S. Weber; J. Rojas; P. Kirsch; M. Tornow","Technical University of Munich, Garching, Germany; Technical University of Munich, Garching, Germany; Technical University of Munich, Garching, Germany; Technical University of Darmstadt, Darmstadt, Germany; Fraunhofer Institute for Electronic Microsystems and Solid State Technologies (EMFT), Munich, Germany",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","34","39","Using organic compounds for memristive devices has garnered increased scientific interest over the past years. Recently, we have introduced a conductance-switching device based on a self-assembled monolayer (SAM) from a phosphonic acid derivative; the device's resistance exhibited a prominent hysteretic change caused by molecular dipole reorientation in the applied electric field. Here, we report on preliminary measurements of the temperature dependence of the device's electrical characteristics. Atomic force microscopy, water contact angle measurements, and Fourier-transform-infrared spectroscopy verified the quality of the SAMs. For electrical characterization, the monolayer was grown on microstructured electrodes (50 nm thick TiN bottom contact), while the top contact was achieved via electron-beam evaporation of Pb (20 $\text{nm}) / \text{Au}(100 \text{nm})$ through a shadow mask. The hysteresis curves were analyzed for temperatures ranging from $\sim 20 \mathrm{K}$ up to 293 K. These first results indicate that below 50 K, the current densities show almost no temperature dependence, while they appear weakly activated above this threshold. The hysteretic memristive switching, which is well observed at room temperature, freezes below about 200 K - supporting the important role of intermolecular, steric interactions. For both temperature dependencies, phenomenological activation energies in the range $30-70 \text{meV}$ are estimated.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113815","","Temperature measurement;Atomic measurements;Temperature dependence;Temperature distribution;Spectroscopy;Self-assembly;Contacts;Switches;Tin;Electrical resistance measurement","","","","27","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"MNT Designer: A Comprehensive Design Tool for Field-Coupled Nanocomputing","S. Hofmann; J. Drewniok; M. Walter; R. Wille","Chair for Design Automation, Technical University of Munich, Munich, Germany; Chair for Design Automation, Technical University of Munich, Munich, Germany; Chair for Design Automation, Technical University of Munich, Munich, Germany; Chair for Design Automation, Technical University of Munich, Munich, Germany",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","40","45","Field-coupled Nanocomputing (FCN) is a class of post-CMOS technologies that operate at the nanoscale without relying on electrical current. Its potential was recently demonstrated by the fabrication of a fully functional OR gate occupying less than $30 \text{nm}^{2}$, using Silicon Dangling Bonds (SiDBs). A key step toward commercializing FCN is the development of software tools capable of automatically generating fabrication-ready, cell-level layouts. In this work, we present a novel, GUI-based tool that spans the complete design flow-from Verilog to atoms-including physical design algorithms, post-layout optimization, verification, and gate design. The tool is released as open-source at https://github.com/cda-tum/mnt-designer and is also available as a pip package.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113823","","Fabrication;Layout;Circuits;Logic gates;Nanoscale devices;Design tools;Software tools;Optimization;Physical design;Testing","","","","51","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"View of Charge Carrier Mobility in Lateral Gates Junction-Less Transistor","F. Larki; A. Dehzangi","Laye Rooyan Part, Isfahan Science and Technology Town, Isfahan, Iran; Department of Electrical and Computer Engineering, University of Texas at Dallas, Richardson, Texas, USA",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","46","51","We study the charge carrier mobility of a p-type lateral gates junction-less silicon transistor through experimental and simulation results. The device features a specific structure that lacks a gate oxide layer, no junction with a low doping profile for the channel, aiming to suppress impurity scattering, phonon scattering and surface roughness scattering to enhance the mobility of the carries. The device was simulated by 3D-TCAD Sentaurus and simulation results were compared with experimental for transconductance and drain conductance. The fabricated device exhibits an on-off current ratio of 106 between 0 to +2 V. Moreover, the effect of channel width and the gate gap on the velocity and mobility variation of the majority carriers have also been investigated. Based on the simulation data, by decreasing the gate gap into a few nanometers, the quantum confinement in the lateral direction becomes stronger. This alters the valence band structure, increasing the effective mass of the holes and confines holes more strongly in the lateral direction.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113741","Junctionless transistor;lateral gate;hole mobility;hole velocity;effective mass","Simulation;Impurities;Scattering;Potential well;Voltage;Phonons;Logic gates;Surface roughness;Rough surfaces;Transistors","","","","49","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Area-Efficient Realization of Three-Input Logic Functions Using Hybrid SET-MOS Transistors","C. Chen","Department of Electrical and Computer Engineering, University of Windsor, Windsor, Ontario, Canada",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","52","56","Logic synthesis is a crucial step in the electronic design automation (EDA). While two-input logic gates can be easily implemented with MOS transistors, realization of multiple-input (or three-input, in particular) functions remains to be less area-efficient at transistor level. This paper presents an area-efficient realization for any three-input logic functions by using single-electron transistors (SETs) combined with MOS transistors. Results show that with their unique oscillation characteristics, SETs can provide significant improvement for logic synthesis in terms of transistor count over pure CMOS counterparts. This could potentially change traditional design paradigms in the EDA.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113779","Logic design and implementation;single-electron transistor;Coulomb oscillation;hybrid SET-MOS;area savings","MOSFET;Logic gates;Logic functions;CMOS technology;Logic design;Transistors;Logic;Oscillators;Nanotechnology;Single electron transistors","","","","13","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
"Improvement of Comb-Shaped Single-Electron Slime Mold Circuit for Solving Traveling Salesman Problem","R. Takemoto; T. Oya","Graduate School of Engineering Science, Yokohama National University, Yokohama, Japan; Graduate School of Engineering Science, Yokohama National University, Yokohama, Japan",2025 IEEE 25th International Conference on Nanotechnology (NANO),"12 Aug 2025","2025","","","57","61","We propose a single-electron (SE) circuit that solves a traveling salesman problem (TSP), mimicking the information-processing-like behavior of slime molds. Some problems remained in the SE slime mold circuits proposed in the past, which we have solved in this study. This circuit uses an element called a single-electron oscillator. When multiple of these elements are prepared and connected in a twodimensional array, they have the characteristic of propagating voltage changes in a two-dimensional plane like a wave, corresponding to the behavior of slime mold stretching its body. The circuit is controlled by a bias voltage so that the operating area is comb-shaped. With this modification, relatively good solutions were derived for the TSPs up to 12 cities. In addition, through modifications in the external system, an optimal solution has been found for a previously unsolvable problem.","1944-9380","979-8-3315-1271-2","10.1109/NANO63165.2025.11113718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113718","single-electron circuit;single-electron oscillator;slime mold;traveling salesman problem;nonlinear problem","Urban areas;Voltage;Traveling salesman problems;Voltage control;Oscillators;Nanotechnology","","","","12","IEEE","12 Aug 2025","13-16 July 2025","13-16 July 2025","IEEE","IEEE Conferences"
